file,expression,valence,arousal
Dataset\images\0.jpg,0,-0.176846,-0.0776398
Dataset\images\1.jpg,0,-0.367789,0.183895
Dataset\images\10.jpg,7,-0.648471,0.658149
Dataset\images\100.jpg,3,0.150794,0.666667
Dataset\images\1001.jpg,0,-0.135501,0.00483933
Dataset\images\1002.jpg,4,-0.11451,0.857748
Dataset\images\1003.jpg,5,-0.642857,0.484127
Dataset\images\1007.jpg,2,-0.796971,-0.229129
Dataset\images\1008.jpg,6,-0.336439,0.655625
Dataset\images\1009.jpg,3,0.179911,0.788547
Dataset\images\101.jpg,1,0.357143,0.0793651
Dataset\images\1010.jpg,2,-0.539165,-0.181159
Dataset\images\1011.jpg,4,-0.150794,0.603175
Dataset\images\1012.jpg,1,0.785714,-0.103175
Dataset\images\1013.jpg,7,-0.619048,0.642857
Dataset\images\1014.jpg,7,-0.284392,0.608466
Dataset\images\1016.jpg,2,-0.405757,-0.279436
Dataset\images\1017.jpg,0,0.0105352,0.00526759
Dataset\images\1018.jpg,5,-0.793651,0.512969
Dataset\images\1019.jpg,0,0.0996214,0.0398486
Dataset\images\102.jpg,2,-0.796971,-0.164375
Dataset\images\1020.jpg,6,-0.325397,0.404762
Dataset\images\1021.jpg,4,-0.119546,0.831839
Dataset\images\1022.jpg,2,-0.111111,-0.333333
Dataset\images\1023.jpg,2,-0.119048,-0.357143
Dataset\images\1024.jpg,3,0.237127,0.595238
Dataset\images\1025.jpg,0,0.0,-0.00793651
Dataset\images\1026.jpg,0,-0.111111,-0.0714286
Dataset\images\1028.jpg,3,0.336439,0.819531
Dataset\images\1029.jpg,0,-0.0445038,-0.148346
Dataset\images\103.jpg,2,-0.611111,-0.285714
Dataset\images\1030.jpg,4,-0.0677507,0.958188
Dataset\images\1031.jpg,7,-0.227449,0.271003
Dataset\images\1032.jpg,0,0.0301932,-0.01294
Dataset\images\1033.jpg,4,-0.0483933,0.604917
Dataset\images\1034.jpg,2,-0.825397,-0.34127
Dataset\images\1036.jpg,2,-0.813008,-0.275842
Dataset\images\1037.jpg,4,-0.087108,0.94367
Dataset\images\1038.jpg,2,-0.944444,-0.222222
Dataset\images\1039.jpg,0,0.0,0.015873
Dataset\images\104.jpg,2,-0.857143,-0.238095
Dataset\images\1040.jpg,3,0.222609,0.566202
Dataset\images\1041.jpg,0,0.031746,-0.0238095
Dataset\images\1043.jpg,1,0.875919,0.0532327
Dataset\images\1045.jpg,2,-0.638792,-0.401665
Dataset\images\1046.jpg,7,-0.624274,0.662989
Dataset\images\1048.jpg,4,-0.0931239,0.767643
Dataset\images\1049.jpg,6,-0.516224,0.732195
Dataset\images\105.jpg,2,-0.944171,-0.280875
